Place,Indicator,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Basque Country,"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"40,569","42,253","43,175",
Basque Country,"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",,,,,,,,"20,095","20,153","20,057",
Basque Country,"Employment (Number, FTE) in Manufacture of basic metals",,,,,,,,"17,310","17,375","17,279",
Basque Country,"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers",,,,,,,,"13,975","14,169","14,852",
Basque Country,"Employment (Number, FTE) in Manufacture of electrical equipment",,,,,,,,"11,109","12,353","13,439",
Basque Country,"Employment (Number, FTE) in Manufacture of rubber and plastic products",,,,,,,,"13,046","13,552","13,354",
Basque Country,"Employment (Number, FTE) in Manufacture of food products",,,,,,,,"10,608","10,919","11,446",
Basque Country,"Gross Investment in Tangible Goods (Million Euro) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"315,503","395,198","360,398",
Basque Country,Gross Investment in Tangible Goods (Million Euro) in Manufacture of basic metals,,,,,,,,"166,073","256,152","308,562",
Basque Country,"Gross Investment in Tangible Goods (Million Euro) in Manufacture of motor vehicles, trailers and semi-trailers",,,,,,,,"255,344","226,165","287,860",
Basque Country,Gross Investment in Tangible Goods (Million Euro) in Manufacture of rubber and plastic products,,,,,,,,"151,094","163,437","174,136",
Basque Country,Gross Investment in Tangible Goods (Million Euro) in Manufacture of machinery and equipment n.e.c.,,,,,,,,"116,936","155,816","111,321",
Basque Country,"Revenue (in Thousand Euro) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"6,296,572","6,888,156","7,200,222",
Basque Country,Revenue (in Thousand Euro) in Manufacture of basic metals,,,,,,,,"5,454,370","6,096,360","6,495,552",
Basque Country,"Revenue (in Thousand Euro) in Manufacture of motor vehicles, trailers and semi-trailers",,,,,,,,"7,112,821","7,844,120","5,984,071",
Basque Country,Revenue (in Thousand Euro) in Manufacture of machinery and equipment n.e.c.,,,,,,,,"4,132,221","4,307,031","4,455,563",
Basque Country,Revenue (in Thousand Euro) in Manufacture of rubber and plastic products,,,,,,,,"2,880,404","3,375,714","3,504,231",
Basque Country,Revenue (in Thousand Euro) in Manufacture of food products,,,,,,,,"2,600,690","2,646,989","3,130,639",
Basque Country,"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"2,939","2,954","2,960",
Basque Country,Firms (Number) in Repair and installation of machinery and equipment,,,,,,,,914,950,981,
Basque Country,Firms (Number) in Manufacture of food products,,,,,,,,829,914,966,
Basque Country,Firms (Number) in Printing and reproduction of recorded media,,,,,,,,761,724,654,
Basque Country,Firms (Number) in Manufacture of machinery and equipment n.e.c.,,,,,,,,654,619,606,
Catalonia,"Employment (Number, FTE) in Manufacture of food products",,,,,,,,"17,745","19,351","20,811",
Catalonia,"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"18,369","19,653","19,332",
Catalonia,"Employment (Number, FTE) in Printing and reproduction of recorded media",,,,,,,,"15,009","14,584","14,709",
Catalonia,"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",,,,,,,,"11,934","13,970","14,602",
Catalonia,"Employment (Number, FTE) in Repair and installation of machinery and equipment",,,,,,,,"13,382","12,779","13,938",
Catalonia,"Employment (Number, FTE) in Manufacture of other transport equipment",,,,,,,,"11,789","12,614","12,590",
Catalonia,"Employment (Number, FTE) in Manufacture of basic pharmaceutical products and pharmaceutical preparations",,,,,,,,"9,624","10,595","11,847",
Catalonia,Gross Investment in Tangible Goods (Million Euro) in Manufacture of food products,,,,,,,,"715,567","780,661","762,106",
Catalonia,"Gross Investment in Tangible Goods (Million Euro) in Manufacture of motor vehicles, trailers and semi-trailers",,,,,,,,"772,303","618,586","723,630",
Catalonia,Gross Investment in Tangible Goods (Million Euro) in Manufacture of chemicals and chemical products,,,,,,,,"450,412","511,796","522,498",
Catalonia,Gross Investment in Tangible Goods (Million Euro) in Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,,,,,,"301,695","379,451","479,767",
Catalonia,"Gross Investment in Tangible Goods (Million Euro) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"399,140","382,159","315,634",
Catalonia,"Revenue (in Thousand Euro) in Manufacture of motor vehicles, trailers and semi-trailers",,,,,,,,"3,830,666","4,194,025","5,645,225",
Catalonia,Revenue (in Thousand Euro) in Manufacture of other transport equipment,,,,,,,,"5,100,298","5,544,337","5,171,716",
